,algorithm,params,groups,calinski_harabaz_score,silhouette_score
64,AgglomerativeClustering,affinity = euclidean linkage = ward k = 6,6,637.23592863857516,0.4883620539523843
65,AgglomerativeClustering,affinity = euclidean linkage = complete k = 6,6,425.56995455056887,0.46084864425738548
66,AgglomerativeClustering,affinity = euclidean linkage = average k = 6,6,509.98510905004309,0.50078734749996401
67,AgglomerativeClustering,affinity = l1 linkage = complete k = 6,6,388.21891830119444,0.45052207064806576
68,AgglomerativeClustering,affinity = l1 linkage = average k = 6,6,494.60249093413069,0.48050620720870296
69,AgglomerativeClustering,affinity = l2 linkage = complete k = 6,6,425.56995455056887,0.46084864425738548
70,AgglomerativeClustering,affinity = l2 linkage = average k = 6,6,509.98510905004309,0.50078734749996401
71,AgglomerativeClustering,affinity = manhattan linkage = complete k = 6,6,388.21891830119444,0.45052207064806576
72,AgglomerativeClustering,affinity = manhattan linkage = average k = 6,6,494.60249093413069,0.48050620720870296
73,AgglomerativeClustering,affinity = cosine linkage = complete k = 6,6,27.582315304556282,-0.06629523764832293
74,AgglomerativeClustering,affinity = cosine linkage = average k = 6,6,12.809567741137439,-0.095469983331761557
75,AgglomerativeClustering,affinity = euclidean linkage = ward k = 7,7,655.83028221899372,0.44017823940694267
76,AgglomerativeClustering,affinity = euclidean linkage = complete k = 7,7,383.79370005849199,0.44947638769888743
77,AgglomerativeClustering,affinity = euclidean linkage = average k = 7,7,440.29885688277653,0.50185196042855318
78,AgglomerativeClustering,affinity = l1 linkage = complete k = 7,7,512.82417762460693,0.42820905043776708
79,AgglomerativeClustering,affinity = l1 linkage = average k = 7,7,426.59337456747926,0.4793785657376225
80,AgglomerativeClustering,affinity = l2 linkage = complete k = 7,7,383.79370005849199,0.44947638769888743
81,AgglomerativeClustering,affinity = l2 linkage = average k = 7,7,440.29885688277653,0.50185196042855318
82,AgglomerativeClustering,affinity = manhattan linkage = complete k = 7,7,512.82417762460693,0.42820905043776708
83,AgglomerativeClustering,affinity = manhattan linkage = average k = 7,7,426.59337456747926,0.4793785657376225
84,AgglomerativeClustering,affinity = cosine linkage = complete k = 7,7,22.902308469420717,-0.071846970527830414
85,AgglomerativeClustering,affinity = cosine linkage = average k = 7,7,10.638838247087635,-0.083438411727104672
86,AgglomerativeClustering,affinity = euclidean linkage = ward k = 8,8,641.8172027218518,0.44453720094785099
87,AgglomerativeClustering,affinity = euclidean linkage = complete k = 8,8,480.94117446032288,0.44812895775863248
88,AgglomerativeClustering,affinity = euclidean linkage = average k = 8,8,414.23465247376544,0.49404564331584305
89,AgglomerativeClustering,affinity = l1 linkage = complete k = 8,8,500.59648413034239,0.43019183311320214
90,AgglomerativeClustering,affinity = l1 linkage = average k = 8,8,403.66023662901802,0.47427545833912033
91,AgglomerativeClustering,affinity = l2 linkage = complete k = 8,8,480.94117446032288,0.44812895775863248
92,AgglomerativeClustering,affinity = l2 linkage = average k = 8,8,414.23465247376544,0.49404564331584305
93,AgglomerativeClustering,affinity = manhattan linkage = complete k = 8,8,500.59648413034239,0.43019183311320214
94,AgglomerativeClustering,affinity = manhattan linkage = average k = 8,8,403.66023662901802,0.47427545833912033
95,AgglomerativeClustering,affinity = cosine linkage = complete k = 8,8,22.897709589447018,-0.04425115970487032
96,AgglomerativeClustering,affinity = cosine linkage = average k = 8,8,16.465256704221641,-0.044694097824221971
97,AgglomerativeClustering,affinity = euclidean linkage = ward k = 9,9,627.88771843885502,0.4363688893677129
98,AgglomerativeClustering,affinity = euclidean linkage = complete k = 9,9,475.93122441374265,0.44920104654167731
99,AgglomerativeClustering,affinity = euclidean linkage = average k = 9,9,475.89416130043207,0.48398116993333445
100,AgglomerativeClustering,affinity = l1 linkage = complete k = 9,9,516.62530058028517,0.44318941043780408
101,AgglomerativeClustering,affinity = l1 linkage = average k = 9,9,472.03309575621262,0.47992777489446831
102,AgglomerativeClustering,affinity = l2 linkage = complete k = 9,9,475.93122441374265,0.44920104654167731
103,AgglomerativeClustering,affinity = l2 linkage = average k = 9,9,475.89416130043207,0.48398116993333445
104,AgglomerativeClustering,affinity = manhattan linkage = complete k = 9,9,516.62530058028517,0.44318941043780408
105,AgglomerativeClustering,affinity = manhattan linkage = average k = 9,9,472.03309575621262,0.47992777489446831
106,AgglomerativeClustering,affinity = cosine linkage = complete k = 9,9,19.955184629967814,-0.049993434928845233
107,AgglomerativeClustering,affinity = cosine linkage = average k = 9,9,14.349717944354266,-0.046678765779032259
